TG	Coefficient
TRIM3	9.73042e-05
ZNF720	0.000237422
NOTCH3	0.0231933
COMMD7	0.00866846
SSBP3	0.0241546
ZNF584	0.00225252
NACC2	0.00116132
HCFC1	0.00216528
ZNF304	0.00850917
RBM5	0.000332622
ZNF260	0.00440768
PREX1	0.00306794
ZBTB39	0.00292601
RFXAP	0.00432257
PHOX2A	0.00246731
ZBTB2	0.00411844
MYC	8.65474e-05
NPAS2	0.000645163
SUZ12	0.00161198
MEN1	0.0130356
PRRX2	0.258121
TAF13	0.000737717
ZNF773	0.000457875
MEF2B	0.000370718
TFAM	0.000343393
TREX1	0.000204406
PIN1	0.00016177
TDP1	0.00150675
HIST1H1E	0.00818267
SOGA3	0.00252365
CACTIN	0.00108249
SMARCD1	0.0142109
ZNF319	0.000855188
ZNF384	0.0107352
ZNF530	0.00375768
HMGB1	0.00841803
ADAMTS19	0.0382411
CENPBD1	0.00281841
PAX7	0.0544704
ZNF783	0.00179328
ZNF418	0.00293275
RWDD3	0.00919712
CHUK	1.69908e-05
ZNF281	0.00179087
ZC3HAV1	7.35068e-05
ZNF416	0.00171982
ZNF627	0.0104665
AEBP1	0.000169572
ABL1	0.000794392
TEAD1	0.00140642
CEBPZ	0.000261639
TP53	0.0157764
ZNF532	0.0101903
FOSL1	0.00105246
HIC1	0.000564082
GTF2IRD1	0.00726239
RNF113A	0.00177553
APOBEC3B	6.13786e-05
TUT1	0.0236035
ZNF106	0.00346528
PPRC1	0.00913599
ZNF521	0.00796522
ZNF362	0.0265841
HES1	0.00581781
TBX2	0.110345
ZNF394	4.70258e-06
ZBTB25	0.00218099
EXOC2	0.000560169
DNTTIP1	0.00286095
BRD4	3.54505e-05
CRTC1	0.000218794
PLEKHA4	0.000881668
CNOT3	0.0219329
ATF4	0.00353326
PSMD10	0.00108919
PTGIS	0.00167645
CCNT2	0.000911605
SMARCC1	0.0171238
MAPK1	0.00538776
ADNP	0.00898732
ZNF329	0.00331862
TCF7L1	0.0700978
ZC3H6	0.00186627
PRKCI	0.00293744
ZBTB26	0.0066763
TCEAL8	0.0128928
ZNF862	0.00166487
TARDBP	0.015344
ZNF256	0.00710016
AP5Z1	0.000705853
GREM1	0.00386189
ZNF114	0.00410315
ELF1	6.58661e-05
BRD8	0.00403887
NPM1	0.000752442
GAS6	0.000655552
IRX3	0.0260958
ZC3H7A	6.81139e-05
CBLL1	0.00247195
CHD3	0.0114675
EXO1	0.00287825
UBB	0.00312
BUD31	0.0119336
TSHZ3	0.00416481
SMARCB1	0.00627913
EME1	0.00367175
EIF3C	0.00035109
HIST1H1C	0.0121418
ID2	0.000150671
ZNF445	0.00964585
REXO4	0.00297605
SFPQ	0.0197081
CUL3	0.000889122
ZNF514	0.00085981
TFAP2A	0.0333807
ZNF302	0.0031086
CC2D1A	0.00237951
HIST1H1D	0.00217077
OSR1	0.00375224
ZSCAN25	0.000854675
NCOA1	0.000662427
CDKN1A	0.00089407
ZNF548	0.00149246
KNTC1	0.000847158
TFAP2B	0.0418355
ZKSCAN8	0.00120338
ZFP62	0.00213478
DNMT3A	0.0256673
MTA1	0.0005563
DNAJC2	0.00216985
NFE2L1	0.004357
ZNF234	0.00156557
RPA2	0.0115554
PCBP1	0.00619804
ZBTB24	0.000677232
VEZF1	0.00359852
SIX1	0.116802
WWTR1	0.00205877
ZHX2	0.000691267
BANF1	0.0733174
TCF15	0.0232891
ZNF689	0.00471074
TSC22D1	0.000278937
EID1	0.00881139
LARP7	0.000597344
TSSK4	0.0501663
TFCP2	0.0171628
TONSL	0.00871503
ZNF408	0.000289056
FOXP4	0.0219785
SSH1	0.00258621
GLIS2	0.0827779
ZNF814	0.0128903
FAM200A	0.00689131
GMEB1	0.00130242
LRP6	0.00413627
BCL11A	0.00235113
DDR2	0.0016943
ZNF134	0.000720206
CXXC5	0.0316501
POGZ	0.0138421
C20orf194	0.000165507
PIAS1	0.000116343
MAFF	4.14455e-05
EDF1	0.00483486
KIAA1549	0.0036221
MLX	0.000422385
LMX1B	0.0554997
ELK4	0.000449672
SPEN	0.000525487
ELK3	0.0043535
DEPDC7	0.00089696
TEAD4	0.0057096
CERS5	0.0153212
LRP5	0.000652214
BRF2	0.00108204
TOP2B	0.0101277
SKIDA1	0.000516815
PCNA	0.00406473
ZNF285	0.00632456
THAP5	0.000527852
SLC26A10	0.000536745
TRIM24	0.000448648
ZNF30	0.0017354
ZNF786	0.000972513
TIGD7	0.00225612
ZNF771	0.0312041
ZNF22	0.00664582
ZSCAN32	0.00269932
ZNF93	0.00170083
LPP	0.000702265
C17orf49	0.00130507
BLM	6.69473e-06
SETDB2	0.000348293
VPS72	0.00912842
KRAS	0.000235839
MBTPS2	0.00489641
ATF1	0.000257193
SOX15	0.000903657
SKI	0.00486474
RYBP	0.000115013
SPHK1	0.00146259
ZSCAN12	0.0013034
RFX5	0.00226405
PPARD	0.00285225
CITED2	0.000353029
SF3A3	0.00291206
HMGB2	0.000185564
MED17	0.00319043
ZNF696	0.000781253
ZFR	0.00221894
CENPB	0.000371396
ARID1A	0.0207054
ZNF568	0.00578244
ZNF251	0.00386143
GLI3	0.0257985
SMC3	0.00631235
ETV4	0.010216
MED12	0.00149021
ZNF334	0.000948377
ZNF622	5.60531e-05
ZNF189	0.000789899
ZNF625	0.00143485
GABPA	0.000871296
HMGA1	0.00406861
ZNF337	0.00617517
TLE3	0.000438813
TWIST2	0.0126216
ZBTB5	0.00337718
RIPK1	0.000529121
RNASEH1	0.000568332
ZKSCAN5	0.0100593
UBN1	0.00773911
COPS4	0.00107234
SUMO1	0.00527966
ZNF654	5.4554e-05
SIRT2	0.000843226
ZNF223	1.95165e-05
ZNF511	0.000560702
RUNX1T1	0.0428238
NTRK1	0.00777603
ZNF135	0.00588444
FOXM1	0.00265696
PLXNB1	3.13842e-05
GADD45A	0.00636649
CYTL1	0.0136033
RELL2	0.004403
UHRF2	0.000249787
ZNF423	0.0704782
KLF16	0.0074669
TCF7	0.00302292
ZNF787	0.000849169
BTAF1	0.000607578
TOX3	0.00100563
GLI4	0.00173355
FOXK2	0.000831073
GTF2F1	0.0453554
ZBTB43	0.00082504
UBTF	0.0166882
RPL7A	0.00458548
ZNF296	0.000631593
E2F3	0.00511947
TRIT1	0.000320631
FZD2	0.0726907
C3orf33	7.33244e-06
SMAD5	0.00576994
WNT5A	0.0135576
PLSCR1	0.00299668
YOD1	0.000118065
ZSCAN22	0.00518509
HNF1A	0.00309954
NFKBIA	0.000764191
ZNF549	0.00282465
FANCA	0.00184002
ZNF581	0.0208913
ATOH8	0.0130575
GLYR1	0.00433176
RNF25	0.0151188
ZNF287	0.000109335
CDK5RAP3	0.00527699
PRIM2	0.000324918
ZNF182	0.000392476
SOX12	0.00950157
RPS27A	0.00576352
PRDM2	0.000201017
HMG20A	0.00218428
SMO	0.0261267
EDA	0.00948078
AKNA	0.00361742
HP1BP3	0.00248994
SALL4	0.088238
CUL2	4.44701e-07
ZNF697	0.00885563
ZNF827	0.00291051
HDAC7	0.000619251
POLR3A	0.00142555
ZIK1	0.0191413
HDAC2	0.00583425
ATF7	0.00894824
ZNF212	0.000571516
FHL2	0.00220801
NDC80	0.000438536
PARP1	0.00181342
ZC3H12A	0.0003748
POLB	0.000675066
DNMT3B	0.00353099
SMAD3	0.000866333
STAT5A	0.000102582
BCL6	1.03403e-06
NUCKS1	0.00380908
TEAD3	0.00613079
MLLT3	0.0027504
PURB	0.00424985
TAF2	0.000157534
ZNF385C	0.00295397
SREBF2	0.00383272
SIX4	0.0217655
H1FX	0.00436322
PHB2	0.00298676
BMP7	0.369793
ZFP37	0.00644465
ZNF44	7.32111e-05
ZNF526	0.00205211
FOXD2	0.00729153
NFYA	0.00746148
GTF2H4	0.00811618
RXRB	0.0142196
FUBP1	0.0148606
RAD51	0.0136633
SIVA1	0.00280747
ZNF215	0.000456118
ZNF317	0.000145429
H1F0	0.027021
MBD2	0.00361756
RBAK	0.00134001
ZNF239	1.14138e-05
ZFP82	0.00865041
ZNF671	0.00708821
TRIM28	0.00790878
ZNF425	0.000909676
QRICH1	0.000162743
ING4	0.00486903
SMAD1	0.00442239
ZNF467	0.00480829
SSRP1	0.0211719
ZNF587	0.00253292
YY1	0.0065773
PRRX1	0.118159
ZC3H13	0.00386863
ZNF618	0.00503742
TBP	0.00166692
ZNF227	0.00277102
NAB2	0.0041674
ZRANB2	0.00227142
ZNF664	0.00511448
ZNF175	2.69715e-05
ZNF146	0.00192134
ZFP41	0.000704176
IRF7	6.30844e-08
ZBED4	0.00402075
ZFP1	0.000373458
CBFA2T3	0.0020297
FEN1	0.0201388
TOP2A	0.0123331
SERTAD2	0.00189842
ZNF335	0.00130965
HOOK2	0.00200921
SMAD6	0.000269605
PSMC5	0.0111097
TSN	0.0132709
TOX4	0.00126302
ZNF76	0.000723174
ZBTB8A	0.00183556
PRKCZ	4.32589e-05
EGR1	0.0156125
MSX1	0.000546534
CYP1B1	0.0113929
TRIB3	0.000238364
ZNF24	0.00641834
TRERF1	0.00102422
STK16	0.0105975
HMG20B	0.00529935
SNAI2	0.00850242
ZNF668	0.00691891
ARID3A	0.0056115
ZNF154	0.0169163
MAP3K7	0.000303612
YY2	0.000813364
UBC	0.00459908
SOX8	0.0194874
E2F8	0.000390112
HEY1	0.078195
ZNF326	0.0047742
TULP4	0.000182198
GATAD2B	0.000333056
ZCCHC11	0.00288014
PHF5A	0.005004
ZNF248	0.00157053
LARP6	0.00263171
HNRNPAB	0.00163341
HDAC1	0.0126597
ELF4	3.5508e-05
NOP2	0.000411958
MYBL1	0.000296532
RNF2	0.00285037
ZNF653	2.38046e-06
ZC3H4	0.000111416
ZNF557	8.67456e-05
ZNF197	0.00600173
ZNF202	0.00213474
HNRNPA1	0.0140268
ID3	0.00197311
HES2	0.00103466
DZIP1	0.00450066
CRTC3	0.000215665
HEYL	0.0210961
TBX3	0.00282158
MBD4	0.000490129
EBF3	0.0317839
ZKSCAN2	0.000655797
RNF114	0.00296179
SIGIRR	0.00224141
SCAPER	0.000277656
ZNF785	0.000508652
ARID3B	0.00476581
PKNOX2	0.270132
MAP3K10	0.000728113
PLXNA2	0.00579289
NR2C1	0.00165041
ZNF177	0.00307695
CREB1	0.00147756
THAP10	0.00130139
ZNF184	0.000856706
OPRD1	0.00212832
NFATC3	0.00061799
RBPJ	0.000196161
RPL7	0.0019059
FOXJ2	0.007287
MED1	0.00654752
PLAGL1	0.00520281
SNAPC4	0.00102206
BOLA2B	0.00283845
GTF2H3	0.00230804
ZNF500	0.000428648
DAB2IP	0.00760353
ZNF23	0.000287766
SMARCA4	0.0180544
LIG1	0.0131639
MED13	0.000254669
SNAPC5	0.000881621
TIRAP	0.00154656
ETV5	0.0026731
KLF12	0.00214989
RFC1	0.000229364
SRF	0.00119103
ZNF367	0.00130177
NR1D1	0.00160918
PRMT2	0.00279354
SSBP2	0.00197963
NFKB2	0.00119652
FER	0.000161765
HIF1A	0.000757562
HSBP1	0.0029456
ZNF710	1.87064e-05
TET3	2.10271e-05
RFX7	0.00152082
TSHZ1	0.000424561
RBL2	0.00504856
POU5F1	0.00537054
ZNF195	0.00331856
TSC2	0.000890079
MUS81	0.000208196
CBFA2T2	0.00545037
EZH2	0.00714042
CBFB	0.00293875
KIF15	0.00586943
USP39	0.00193997
MAML3	5.47055e-05
LYAR	0.00154755
ZNF711	0.0041157
MSH6	6.82897e-07
PARK7	0.00350332
BBX	0.00537311
RBM22	0.0125751
SMARCE1	0.00115197
ZC3H11A	0.000362343
NONO	0.00936037
ETS1	0.0100529
ID4	0.00102228
ZNF438	0.000295069
SCML2	0.000878995
NR1H3	0.00169807
