TF	Coefficient
SOX12	0.0144756
TGIF2	0.00163086
TBX15	0.000987798
CUX1	0.000654209
CREB3L1	0.00212527
ZNF711	0.00248365
NR1D1	0.00717842
ATF7	0.000314995
PAX3	0.100018
POU2F1	0.0244754
TWIST2	0.0160033
IRX2	0.00106356
